Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
57376609,"원수를 사랑하라 2 (To Love Your Enemy, Season 2)",NOT A BOOK,"BOOK, NOT A",,"=""""","=""""",3.0,Naver Webtoon,Webtoon ,,2021,2021,2021/12/19,2021/11/24,"manhwa, official-translations","manhwa (#68), official-translations (#76)",read,"Finale season complete chapters 51-102!<br/><br/>I did not expect the twists this took. Main Female lead was not aware of her being involved in the pyramid schemes as we had originally thought. She was as naive as those she was scamming... So it contradicts all of what we were set up to expect about her. All of the ""her parents were scammers and committed fraud she is the exact same.."" blah blah it wasn't true? It wasn't her character, she was just tricked like anyone else. I just didn't enjoy that.. making her seem like she was really lying to -> oh no, I wasn't aware either. <br/><br/>There's a religious cult arc. It goes by super fast which was surprising considering how much slower the first season had been. <br/><br/>I do not like Sora or the manager. Every time I see them, I get irritated especially the professor. He was far too invasive(?) in Yeonhee's business. Like seriously, she doesn't want to be involved with you so back off... People need to understand some of these fundamental things like what ""no"" means.  <br/><br/>I don't completely understand the point of the breakup? It was out of left field for me. I couldn't grasp the point of that was at all. The ending was also so abrupt... It wasn't a satisfying end. It seems like the author forgot about the many loose ends that were still left untied. ",,,1,0
61201573,Marry My Husband,LICO dan Sungsojak,"Sungsojak, LICO dan",,"=""""","=""""",0,2022,,,2022,22,2022/12/25,2022/12/12,"manhwa, favorite-manhwa-manga, official-translations","manhwa (#49), favorite-manhwa-manga (#17), official-translations (#75)",read,,,,1,0
56535944,엔딩 후 서브남을 주웠다 [Ending Hu Subnam'eul Juwossda] (I Picked Up the Second Male Lead After the Ending),Do-Tol Hwang,"Hwang, Do-Tol","Isle, 황도톨, 아일레","=""""","=""""",5.0,페리윙클,ebook,,2020,2020,2021/11/14,2021/11/12,"manhwa, official-translations","manhwa (#76), official-translations (#74)",read,"Completed! Chapters 1~89<br/><br/>review for:<br/>currently @49 on the manhwa. <br/><br/>The art style is different from most webtoons out there, however, the soft colors and harsh dark scenes really give it so much warmth. I originally didn't like the main FL since she was so dense/stubborn needlessly. But her sweetness really does rub off on you. Not gonna lie the supporting characters are so sweet too (her personal maid and the cook in the kitchen). I haven't gone very far into the story but things are definitely not what they seem like. The original story has ended and honestly, I thought the main leads from the original would be wanting more revenge on the poor Richt but they are sweet too.<br/><br/>Overall it's so wholesome so far and I'm not looking for that to end.<br/><br/>final review: <br/>Highly recommend it to new webtoon readers. Its art style is cute and refreshing. The author isn't shy to delve into some pretty dark stuff and has the characters overcome deep trauma in healthy ways. The romance is endearing and the ups and downs of the relationship between the two leads have my heart racing. The ending tied everything up quite nicely though I'm sad to see it end so quickly. I loved every moment and it is a surprise I remember the plot very well without having seen the webtoon in over a year or so. It is a very memorable and sweet romance story I'd love to reread some time again later.",,,2,0
23155501,QQスイーパー 1 [QQ Sweeper 1],Kyousuke Motomi,"Motomi, Kyousuke",最富キョウスケ,"=""4091363164""","=""9784091363169""",5.0,Shogakukan,Paperback,184,2014,2014,2023/02/04,2023/02/05,"manga, borrowed-library","manga (#42), borrowed-library (#96)",read,"You can find peace in the mundane activities of everyday life. <br/><br/>Fumi is abandoned by her guardians and is left at her new school with just her bedding and personal items. She stumbles upon a room that has been taken care of and feels it's like a home and falls asleep on the couch. She awakes to Kyutaro who had gone to clean the place in the morning and at this point, the story begins. <br/><br/>All in all though the plot moves quickly, the story takes a lot of consideration for the simple moments and interactions between different characters. You can tell a lot from the way everyone acts around one another and how they think about events that shape their mental state. I really needed to read this book. ",,,1,0
58450407,"My Happy Marriage (Light Novel), Vol. 1",Akumi Agitogi,"Agitogi, Akumi",Tsukiho Tsukioka,"=""1975335007""","=""9781975335007""",5.0,Yen On,Paperback,160,2022,2019,2023/07/20,2023/07/18,"light-novel-translations, book-digital","light-novel-translations (#1), book-digital (#38)",read,"—will edit later—<br/><br/>Alright so volume 1 is the precursor to a phenomenal tale and lovely wholesome love story. Miyo, our FL, is being mistreated and abused by her so called family. The abuse runs deep and I love the emphasis that a simple sorry and dowry would not be enough to heal those wounds. <br/><br/>I’m a sucker for falling in love at first sight stories so this one got me on page one. Having said that I was rooting for that childhood friend for a good minute before I dropped him for Mr.Kiyoka Kudou. <br/>I’m satisfied with the childhood friend’s ending in the relationship. As sincere as his feelings for Miyo were, his flaws prevented him from truly being there for her. He knew his shortcomings very well also considering he quickly got Kudou when things were going south. He basically forfeited the challenge before it started. <br/><br/>I love the fantasy laced into the story. It’s the sole reason why Miyo was abused in the first place. The magic is what connects her to her memories and dreams of her mother (happier times). It’s not as prominent in this volume but I’m sure we’ll see more of it later on. Especially with that foreshadowing at the ending as Miyo bids her mother’s cherry tree goodbye and steps towards her new life. <br/><br/>—<br/>I’m not too happy with the anime adaptation. As beautiful as it is, there’s just so much not emotionally available in the scenes being portrayed. The inner workings of the characters and Miyo’s struggles with social interactions and herself shapes a lot of the story. It feels kind of silent throughout the episodes as we continue to watch without a ton of her inner monologue. I’ll be staying up to date with the anime as it posts but I highly recommend reading the novel over watching it at this point in time.",true,,1,0
61255061,Maybe Meant to Be,honeyskein,"honeyskein, honeyskein",,"=""""","=""""",0,,ebook,,2022,,2023/10/28,2022/12/12,"manhwa, official-translations","manhwa (#50), official-translations (#73)",read,,,,1,0
61316049,"오늘도 사랑스럽개 9 (A Good Day to Be a Dog, Vol. 9)",Lee Hye,"Hye, Lee",이혜,"=""1190427540""","=""9791190427548""",5.0,,,262,2020,,2023/12/27,2023/12/27,"manhwa, official-translations","manhwa (#8), official-translations (#72)",read,,,,1,0
61316043,"오늘도 사랑스럽개 8 (A Good Day to Be a Dog, Vol. 8)",Lee Hye,"Hye, Lee",이혜,"=""1190427532""","=""9791190427531""",4.0,,,254,,,2023/12/27,2023/12/27,"manhwa, official-translations","manhwa (#9), official-translations (#71)",read,,,,1,0
61316038,"오늘도 사랑스럽개 7 (A Good Day to Be a Dog, Vol. 7)",Lee Hye,"Hye, Lee",이혜,"=""1190427524""","=""9791190427524""",4.0,,,,2020,,2023/12/27,2023/12/27,"manhwa, official-translations","manhwa (#10), official-translations (#70)",read,,,,1,0
61316035,"오늘도 사랑스럽개 6 (A Good Day to Be a Dog, Vol. 6)",Lee Hye,"Hye, Lee",이혜,"=""1190065509""","=""9791190065504""",5.0,,,284,,,2023/12/27,2023/12/27,"manhwa, official-translations","manhwa (#11), official-translations (#69)",read,,,,1,0
61316022,"오늘도 사랑스럽개 5 (A Good Day to Be a Dog, Vol. 5)",Lee Hye,"Hye, Lee",,"=""1190065495""","=""9791190065498""",4.0,,,282,,,2023/12/27,2023/12/27,"manhwa, official-translations","manhwa (#12), official-translations (#68)",read,,,,1,0
61316019,"오늘도 사랑스럽개 4 (A Good Day to Be a Dog, Vol. 4)",Lee Hye,"Hye, Lee",이혜,"=""1190065487""","=""9791190065481""",4.0,,,,,,2023/12/27,2023/12/27,"manhwa, official-translations","manhwa (#13), official-translations (#67)",read,,,,1,0
61316014,"오늘도 사랑스럽개 3 (A Good Day to Be a Dog, Vol. 3)",Lee Hye,"Hye, Lee",이혜,"=""""","=""9791162209165""",5.0,,Paperback,,2018,2018,2023/12/27,2023/12/27,"manhwa, official-translations","manhwa (#14), official-translations (#66)",read,,,,1,0
61316006,"오늘도 사랑스럽개 2 (A Good Day to Be a Dog, Vol. 2)",Lee Hye,"Hye, Lee",이혜,"=""""","=""9791162209158""",5.0,,,322,2018,,2023/12/27,2023/12/27,"manhwa, official-translations","manhwa (#15), official-translations (#65)",read,,,,1,0
56475924,"남편을 만렙으로 키우려 합니다 6 [Nampyeon-eul Manlev-euro Kiuryeo Habnida 6] (Leveling Up My Husband to the Max [Novel], #6)",Nuova,"Nuova, Nuova",누오바,"=""""","=""9791132580874""",5.0,루시노블,ebook,490,2020,2020,2024/01/01,2024/01/12,"manhwa, official-translations","manhwa (#2), official-translations (#64)",read,,,,1,0
56475906,"남편을 만렙으로 키우려 합니다 5 [Nampyeon-eul Manlev-euro Kiuryeo Habnida 5] (Leveling Up My Husband to the Max [Novel], #5)",Nuova,"Nuova, Nuova",누오바,"=""""","=""9791132580867""",5.0,루시노블,ebook,407,2020,2020,2024/01/01,2024/01/12,"manhwa, official-translations","manhwa (#3), official-translations (#63)",read,,,,1,0
56475901,"남편을 만렙으로 키우려 합니다 4 [Nampyeon-eul Manlev-euro Kiuryeo Habnida 4] (Leveling Up My Husband to the Max [Novel], #4)",Nuova,"Nuova, Nuova",누오바,"=""""","=""9791132580850""",5.0,루시노블,ebook,385,2020,2020,2024/01/01,2024/01/12,"manhwa, official-translations","manhwa (#4), official-translations (#62)",read,,,,1,0
56475896,"남편을 만렙으로 키우려 합니다 3 [Nampyeon-eul Manlev-euro Kiuryeo Habnida 3] (Leveling Up My Husband to the Max [Novel], #3)",Nuova,"Nuova, Nuova",누오바,"=""""","=""9791132580843""",5.0,루시노블,ebook,396,2020,2020,2024/01/01,2024/01/12,"manhwa, official-translations","manhwa (#5), official-translations (#61)",read,,,,1,0
56475890,"남편을 만렙으로 키우려 합니다 2 [Nampyeon-eul Manlev-euro Kiuryeo Habnida 2] (Leveling Up My Husband to the Max [Novel], #2)",Nuova,"Nuova, Nuova",누오바,"=""""","=""9791132580836""",5.0,루시노블,ebook,414,2020,2020,2024/01/12,2024/01/03,"manhwa, official-translations","manhwa (#6), official-translations (#60)",read,,,,1,0
61109069,The London Séance Society,Sarah Penner,"Penner, Sarah",,"=""""","=""""",2.0,Park Row,Hardcover,352,2023,2023,2024/01/13,2024/01/02,"borrowed-library, book-digital","borrowed-library (#27), book-digital (#37)",read,"I needed to mull over this for a while before making my conclusion. <br/><br/>I was hoping for a more... creepy, moody, seance-filled book. It felt a little shallow and short of expectations. The murders and conflicts of this era are all pointing solely to male perpetrators and female victims. It just upsets me that the female point of view told by Leena is really hard to relate to. She isn't exactly experiencing any sort of character development either. The men written were all lustful, greedy and one-dimensional. There are better villains in this world that make you want to really root for their reasoning, but get let down by their execution of those morals they hold. These villains are just men (not even spectacular).. with weakly written female characters unable to throw hands. Not that they aren't strong, just nothing is backing them or making me feel they have what it takes.<br/><br/>I did like Vaudeline. She was a bada**, but Leena not so much. I started to like Mr. Morley's part more than the females... in a book meant to center and revolve around empowered women taking things into their own hands.<br/><br/>I was let down by the execution of it.",,,1,0
61326735,"Love, Theoretically",Ali Hazelwood,"Hazelwood, Ali",,"=""1408725797""","=""9781408725795""",4.0,Sphere,Paperback,389,2023,2023,2024/01/22,2024/01/18,"borrowed-library, book-digital","borrowed-library (#26), book-digital (#36)",read,"I liked it and the audiobook helped me get through it whenever I had some free time. <br/><br/>I do have to say that the strings of cursing caused me to flinch and cringe whenever they happened. Additionally, the random inappropriate quips got me slightly disappointed from time to time as well. It felt like secondhand embarrassment like when she said <i>""Daddy""</i>  with such conviction at a work party where others could have been listening. It's just whiplash whenever it happens that I need a break and breather from the book. Lastly, several people are complaining about the italics, but in audio, it's not an issue truly so I'll give that a pass. <br/><br/>Now to review the characters. I liked Jack a lot. He was sensible and all his actions made sense from start to finish. Elsie was harder to follow and relate to... even when I'm also a woman in STEM (computer engineering and electrical engineering). So it was pleasant to dig into Jack's background and mentality through his every move. <br/><br/>The twist was great! I liked the betrayal, it just took forever to get to that point. Sure there were signs, but nothing truly off-putting to start warning and alerting readers of the red flags. It was a slow burn. I liked the final conclusion, but it left a lot to be answered like Elsie's family situation.",,,1,0
60653961,"하루만 네가 되고 싶어 4 [Haruman Naega Doego Sip-eo 4] (Your Throne, #4)",SAM,"SAM, SAM",삼,"=""8954684173""","=""9788954684170""",5.0,문학동네,Paperback,300,2021,2021,2024/03/25,2024/02/16,"manhwa, official-translations","manhwa (#144), official-translations (#59)",read,"Chapter 36 - 47<br/><br/>Alright so as I've said from the previous reviews these two girls are stunning and so damn strong. I love them with my heart and soul. Nothing can console me if something were to happen to either of them. I need to keep reading this as much as i can without delay as I've been hooked. <br/><br/>This volume follows the concerning past of Psyche and her secrets. And Gal got secrets, big groundbreaking secrets. We see the two switch bodies and get confused and closure on just how it was possible. We follow our beloved Medea as she takes charge and takes full swings. I need more of her involved in the story essentially if it's cutting her father's throat.<br/><br/>Prince Eros disgusts me. I hate him but that's probably putting it lightly. The way I wish i could just wring his neck through the screen of my tablet. Even hanging him won't be serving the girls any justice though.",,,1,0
63898011,"하루만 네가 되고 싶어 5 [Haruman Naega Doego Sip-eo 5] (Your Throne, #5)",SAM,"SAM, SAM",삼,"=""895468923X""","=""9788954689236""",5.0,문학동네,Paperback,288,2022,,2024/04/01,2024/03/29,"manhwa, official-translations","manhwa (#133), official-translations (#58)",read,Medea is formulating a plan and it involves the recruiting of a familiar red head. Helios needs to start loving himself. He killed his own ship with Medea with saying that she is his god. That cup is one you don't want to be drinking from.. The new duo is changing my perception of the situation. <br/><br/>Psyche stay strong <3 don't fall back into the same trap this manipulator is setting up again. <br/><br/>How dare Eros call Medea his empress and a wench in the same breath. Disgusting.,,,1,0
209577005,"Spy x Family, Ofiicial Databook Eyes Only",Tatsuya Endo,"Endo, Tatsuya",,"=""8410213486""","=""9788410213487""",4.0,Editorial Ivrea España,Paperback,220,2024,2022,2024/05/23,2024/05/21,"borrowed-library, manga, book-physical","borrowed-library (#34), manga (#138), book-physical (#72)",read,Spent a casual 2hrs 38min on this read.<br/><br/>It was a fantastic way to recap and summarize all the chapters and concepts covered up until volume 9. The art work is stunning and the analysis of every single character is well worth recapping on if it’s been a while since you’ve read the volumes. Im my case I’ll be re-reading and recording the days it takes to cover all the volumes again on goodreads since I didn’t the first time around.,,,1,0
204145410,"Liz’s Proposal (Better than the Movies, #1.1)",Lynn Painter,"Painter, Lynn",,"=""""","=""""",4.0,Independently Published,ebook,15,2023,2023,2024/05/27,2024/05/27,book-digital,book-digital (#35),read,🥹 Wes really was best boy from page one. He was hardcore simping for Libby well before this gal even considered him in her life in the first place. I’m beyond grateful for these insights to Wes’ point of view m.,,,1,0
